THCIC_ID,Accepts_Med,Per_MedMed,lon,lat,scaled_ppd,total_pop,weighted_median_income
976122,TRUE,0.302528652,-95.49286084,29.61716592,3.0415,398351,71709.18359
976012,TRUE,0.064667154,-95.42889295,30.0212553,8.7255,372457,74369.75429
975546,TRUE,0.476801483,-95.499828,29.7497792,9.8738,641656,93607.15704
975664,TRUE,0.059911745,-95.5333968,29.9500072,7.7572,438215,77963.28052
975665,TRUE,0.072840074,-95.4097525,29.8218479,5.3419,499472,82640.04566
976028,TRUE,0.026088929,-95.19634393,29.92544815,6.2849,191010,93484.63224
975666,FALSE,0,-95.4012809,29.7703263,4.6577,571580,103324.9014
975506,TRUE,0.3407905,-95.1717726,29.82940855,24.3146,199335,60842.66959
975501,TRUE,0.271591627,-95.3911114,29.77434575,14.5815,553425,97494.93156
975667,FALSE,0.00021631,-95.60406132,29.77095575,7.7285,422078,80209.31462
976368,NA,NA,NA,NA,NA,NA,NA
975876,TRUE,0.0416,-95.45943918,29.75016,9.6528,650390,103591.3525
976068,FALSE,0.000569801,-95.416819,29.717532,8.0152,600459,97574.24953
975670,FALSE,0.014428279,-95.5366658,29.7857504,9.3863,513102,84170.54185
975982,TRUE,0.027082029,-95.58253894,29.88044227,8.1868,378557,80296.92296
976313,FALSE,0,-95.41074193,29.74530973,1.5459,616919,102168.5252
976373,NA,NA,-95.399271,29.813396,NA,NA,NA
975547,TRUE,0.43135192,-95.42016535,29.72965105,15.6875,606796,102179.0698
976263,FALSE,0,-95.40987131,29.79470259,3.575,541516,96337.11227
976178,FALSE,0.001142111,NA,NA,9.3275,210002,109728.0003
976239,TRUE,0.211785376,-95.1939519,29.98727545,7.3407,210626,105946.4509
975490,TRUE,0.376058363,NA,NA,7.074,221344,85249.80194
975485,TRUE,0.360591957,-95.5624195,30.70792624,13.1679,62947,47836.20531
976010,FALSE,0,-97.188262,32.83964825,6.4696,338962,94246.76262
976180,FALSE,0,-96.9592285,32.83439305,1.8624,271963,69170.53276
975682,TRUE,0.023620309,NA,NA,5.1631,385453,78005.5427
975684,FALSE,0.005098325,-95.82247902,29.77637225,4.0142,283990,124935.499
975550,TRUE,0.317771501,-95.82715618,29.6970321,13.2633,223028,145722.6393
975502,TRUE,0.227259546,NA,NA,15.1608,312583,126542.4871
975905,TRUE,0.081859743,NA,NA,12.4466,394285,115336.4377
976314,FALSE,0,-95.8334466,29.77744885,1.8882,257885,127470.4984
975444,TRUE,0.179256018,-94.86713657,32.3738272,21.0829,26896,61120.0152
975685,FALSE,0.008187544,-97.7458268,31.10694886,13.1573,190212,58335.50205
976004,FALSE,0.010093168,-95.24935328,30.07045579,4.0749,170444,99368.8704
975686,TRUE,0.291145833,-95.23891221,30.0489604,7.2531,208782,101894.8987
975507,TRUE,0.26033823,-95.18150805,30.0511728,11.057,192984,114172.1693
975875,FALSE,0.011176386,-95.03131139,29.65283325,9.0634,92051,97043.30885
975687,TRUE,0.036945661,-98.14836342,29.36500344,19.7002,23827,97022.11646
975688,FALSE,0.019076045,-95.4524,29.032854,10.8312,59257,85719.98367
975689,TRUE,0.028795812,-97.965851,30.347087,16.116,92786,156853.0205
975690,TRUE,0.021963071,NA,NA,10.0046,204454,64675.14621
975491,TRUE,0.237314409,-99.483277,27.530644,36.7465,234935,62838.38703
975492,TRUE,0.223354555,-99.466347,27.489701,40.3174,190526,53894.95918
976261,NA,NA,NA,NA,NA,NA,NA
976182,FALSE,0.016572431,-99.47268175,27.57196982,16.7835,191882,64398.57326
975930,TRUE,0.515875,-99.4805521,27.59855035,6.8455,144570,68964.19739
976169,FALSE,0.000156617,-99.44828589,27.50364452,13.0843,203783,56947.58986
975694,TRUE,0.03125,NA,NA,3.4505,249585,108102.2207
976151,TRUE,0.427952329,-95.03468179,29.51064782,5.1222,178652,104370.7393
975500,TRUE,0.224202147,-95.10078832,29.47993776,9.5776,211951,110235.5502
976029,TRUE,0.029353344,-95.05781564,29.54236349,12.1465,209187,104478.9018
975551,TRUE,0.219445033,-97.86414525,30.5460659,7.2375,171560,117910.8669
975447,TRUE,0.209479794,-97.86048633,30.59555565,12.4976,125804,117748.2672
975807,TRUE,0.022285938,-97.03566688,33.04244891,11.6441,235943,122348.5517
976093,TRUE,0.248597401,-95.39207158,32.47401425,23.2962,32062,71362.07525
975949,FALSE,0,-96.8975751,33.17023995,8.8013,249508,132796.9326
976195,FALSE,0.004111525,NA,NA,15.2156,25535,59263.55552
975698,FALSE,0.002401482,-94.75469929,32.535739,163.5449,101416,64846.63216
976147,TRUE,0.329587289,-94.7423892,32.54133465,8.4264,102616,64943.50263
975498,TRUE,0.32383365,-101.9569228,33.52143843,8.9602,188367,77011.90699
975497,TRUE,0.340934283,-101.9050912,33.50138055,7.4324,189225,73549.83902
976192,FALSE,0.000529848,-101.9045801,33.54832375,11.4511,258644,68667.17752
975877,TRUE,0.057367527,-101.887641,33.53102065,11.7508,240223,68671.79237
975701,FALSE,0.000927214,-94.6967528,31.31739652,2.8791,58106,53767.84372
976033,FALSE,0,-94.729027,31.302072,5.2635,56873,55524.66433
975703,FALSE,0.003000632,-95.56746187,30.21559635,11.6771,153949,154000.6474
976148,TRUE,0.384510001,-95.74659816,30.21691823,6.0293,52909,109691.3816
975903,FALSE,0.004449838,-98.21937105,26.2627569,7.6323,312484,60785.37571
975517,TRUE,0.401040499,-98.27914143,26.19543822,5.2029,251176,58067.83352
975478,TRUE,0.357189077,-98.25571,26.242422,17.9216,315170,61352.98996
975704,FALSE,0.00153741,-96.66543325,33.16937935,8.93,312541,127023.8169
975440,TRUE,0.182813355,-96.7321146,33.21851752,3.5818,241649,141678.3276
976051,FALSE,0.000536769,-96.684749,33.174073,3.3113,315938,131248.9375
976181,FALSE,0,-96.59599112,32.78741708,4.6597,325548,64920.93697
975961,FALSE,0.001241465,-96.58146753,32.74503215,7.7718,245259,62986.67431
975852,FALSE,0,-96.6342129,32.81029882,7.07,412640,65696.93252
975707,FALSE,0.009903145,-102.1590663,32.01166189,43.0116,132995,99225.48892
976149,TRUE,0.443371749,-98.33534701,26.23120601,3.4669,219151,52471.98968
975513,TRUE,0.421066443,-98.31896202,26.20038195,28.6384,203283,53378.06564
975554,TRUE,0.411315292,NA,NA,14.897,274953,116820.6773
975503,TRUE,0.271332069,NA,NA,11.7866,274953,116820.6773
976096,TRUE,0.031405526,NA,NA,6.1646,274953,116820.6773
976152,TRUE,0.020612708,NA,NA,7.117,57778,117958.9543
976191,FALSE,0.002639789,-94.65282871,31.61523911,8.6826,51882,50611.52323
975466,TRUE,0.498683252,-98.07536389,29.7233875,9.1445,109151,90475.47213
976379,NA,NA,-98.10832969,29.68787541,NA,NA,NA
975709,FALSE,0.000279408,-98.16254638,29.71743854,5.3986,99100,88482.86036
976046,TRUE,0.296062028,NA,NA,2.3327,108530,86672.93832
975711,FALSE,0.000189538,-97.19330374,32.9031621,7.6799,300712,128010.2358
976205,FALSE,0,NA,NA,3.9416,135635,71282.90637
976061,FALSE,0.005906238,NA,NA,8.2876,135635,71282.90637
975713,FALSE,0.011744055,-102.3475597,31.87608315,37.3833,138462,76213.6613
976233,TRUE,0.156663589,-93.74732106,30.10294667,14.6582,38477,71433.17546
976324,NA,NA,NA,NA,NA,NA,NA
975716,FALSE,0.000842105,-95.50278306,33.633218,21.8698,37642,51961.14825
975499,TRUE,0.352622061,-95.15556766,29.65249527,3.848,349423,75236.93072
975489,TRUE,0.447144567,-95.14832293,29.65036337,11.3279,317789,77041.57081
976246,TRUE,0.046210721,-95.12870186,29.65058114,10.5214,258021,79418.5441
975933,TRUE,0.319806845,-95.26421707,29.55610543,6.2963,256078,93686.69666
976094,FALSE,0.000532623,-95.36533397,29.55953902,3.6808,228206,102499.1448
976196,FALSE,0.005793226,NA,NA,4.1362,251675,92959.32651
975720,TRUE,0.057389538,-95.3920355,29.5556265,12.0139,257052,98825.79195
975719,TRUE,0.071132597,-95.2646736,29.57608493,3.4092,274068,87934.45287
